port,country,locode,lat,lon,rank,global_trade,port_url,port_in_vessels_graph,Port_arrivals_and_departures_graph,container_trade_graph,map
Ponta Delgada,PT,PT PDL,37.7333,-25.6667,534,0,https://www.econdb.com/maritime/ports/async/PT PDL/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=PT PDL,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=PT PDL,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=PT PDL,https://www.econdb.com/maritime/search/?ab=37.6833%2C-25.7167%2C37.7833%2C-25.616699999999998&center=37.7333%2C-25.6667
Ferrol,ES,ES FRO,43.4833,-8.23333,535,0,https://www.econdb.com/maritime/ports/async/ES FRO/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=ES FRO,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=ES FRO,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=ES FRO,https://www.econdb.com/maritime/search/?ab=43.4333%2C-8.283330000000001%2C43.5333%2C-8.18333&center=43.4833%2C-8.23333
Umm Al Qaywayn,AE,AE QIW,25.5833,55.5833,536,0,https://www.econdb.com/maritime/ports/async/AE QIW/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=AE QIW,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=AE QIW,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=AE QIW,https://www.econdb.com/maritime/search/?ab=25.5333%2C55.533300000000004%2C25.633300000000002%2C55.6333&center=25.5833%2C55.5833
ST LOUIS,US,US STL,38.6417,-90.1075,537,0,https://www.econdb.com/maritime/ports/async/US STL/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=US STL,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=US STL,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=US STL,https://www.econdb.com/maritime/search/?ab=38.5917%2C-90.1575%2C38.6917%2C-90.0575&center=38.6417%2C-90.1075
Puerto De Pasajes,ES,ES PAS,43.3333,-1.93333,538,0,https://www.econdb.com/maritime/ports/async/ES PAS/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=ES PAS,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=ES PAS,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=ES PAS,https://www.econdb.com/maritime/search/?ab=43.283300000000004%2C-1.98333%2C43.3833%2C-1.88333&center=43.3333%2C-1.93333
Bar,ME,ME BAR,42.0833,19.0833,539,0,https://www.econdb.com/maritime/ports/async/ME BAR/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=ME BAR,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=ME BAR,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=ME BAR,https://www.econdb.com/maritime/search/?ab=42.033300000000004%2C19.0333%2C42.1333%2C19.133300000000002&center=42.0833%2C19.0833
Marina Di Carrara,IT,IT MDC,44.027,10.047,540,0,https://www.econdb.com/maritime/ports/async/IT MDC/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=IT MDC,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=IT MDC,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=IT MDC,https://www.econdb.com/maritime/search/?ab=43.977000000000004%2C9.997%2C44.077%2C10.097000000000001&center=44.027%2C10.047
Mina Tarabulus (Tripoli),LY,LY TIP,32.9,13.1833,541,0,https://www.econdb.com/maritime/ports/async/LY TIP/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=LY TIP,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=LY TIP,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=LY TIP,https://www.econdb.com/maritime/search/?ab=32.85%2C13.133299999999998%2C32.949999999999996%2C13.2333&center=32.9%2C13.1833
Fujairah,AE,AE FJR,25.15,56.4,542,0,https://www.econdb.com/maritime/ports/async/AE FJR/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=AE FJR,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=AE FJR,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=AE FJR,https://www.econdb.com/maritime/search/?ab=25.099999999999998%2C56.35%2C25.2%2C56.449999999999996&center=25.15%2C56.4
Tanger,MA,MA TNG,35.7833,-5.81667,543,0,https://www.econdb.com/maritime/ports/async/MA TNG/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=MA TNG,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=MA TNG,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=MA TNG,https://www.econdb.com/maritime/search/?ab=35.7333%2C-5.86667%2C35.833299999999994%2C-5.76667&center=35.7833%2C-5.81667
Drammen,NO,NO DRM,59.7333,10.25,544,0,https://www.econdb.com/maritime/ports/async/NO DRM/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=NO DRM,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=NO DRM,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=NO DRM,https://www.econdb.com/maritime/search/?ab=59.6833%2C10.2%2C59.7833%2C10.3&center=59.7333%2C10.25
North Ain Sukhna Port,EG,EG AIS,29.65,32.3667,545,0,https://www.econdb.com/maritime/ports/async/EG AIS/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=EG AIS,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=EG AIS,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=EG AIS,https://www.econdb.com/maritime/search/?ab=29.599999999999998%2C32.316700000000004%2C29.7%2C32.4167&center=29.65%2C32.3667
Tarragona,ES,ES TAR,41.1,1.23333,546,0,https://www.econdb.com/maritime/ports/async/ES TAR/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=ES TAR,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=ES TAR,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=ES TAR,https://www.econdb.com/maritime/search/?ab=41.050000000000004%2C1.18333%2C41.15%2C1.28333&center=41.1%2C1.23333
Lyall Harbor,CA,CA YAJ,48.8,-123.2,547,0,https://www.econdb.com/maritime/ports/async/CA YAJ/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=CA YAJ,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=CA YAJ,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=CA YAJ,https://www.econdb.com/maritime/search/?ab=48.75%2C-123.25%2C48.849999999999994%2C-123.15&center=48.8%2C-123.2
Naoetsu Ko,JP,JP NAO,37.1833,138.25,548,0,https://www.econdb.com/maritime/ports/async/JP NAO/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=JP NAO,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=JP NAO,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=JP NAO,https://www.econdb.com/maritime/search/?ab=37.133300000000006%2C138.2%2C37.2333%2C138.3&center=37.1833%2C138.25
WORTH AM RHEIN,DE,DE WOE,49.0595,8.29881,549,0,https://www.econdb.com/maritime/ports/async/DE WOE/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=DE WOE,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=DE WOE,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=DE WOE,https://www.econdb.com/maritime/search/?ab=49.0095%2C8.248809999999999%2C49.1095%2C8.34881&center=49.0595%2C8.29881
Orkanger,NO,NO ORK,63.3122,9.85352,550,0,https://www.econdb.com/maritime/ports/async/NO ORK/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=NO ORK,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=NO ORK,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=NO ORK,https://www.econdb.com/maritime/search/?ab=63.2622%2C9.803519999999999%2C63.362199999999994%2C9.90352&center=63.3122%2C9.85352
Eemshaven,NL,NL EEM,53.45,6.83333,551,0,https://www.econdb.com/maritime/ports/async/NL EEM/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=NL EEM,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=NL EEM,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=NL EEM,https://www.econdb.com/maritime/search/?ab=53.400000000000006%2C6.78333%2C53.5%2C6.88333&center=53.45%2C6.83333
Gravesend,UK,GB GVS,51.45,0.366667,552,0,https://www.econdb.com/maritime/ports/async/GB GVS/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=GB GVS,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=GB GVS,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=GB GVS,https://www.econdb.com/maritime/search/?ab=51.400000000000006%2C0.31666700000000003%2C51.5%2C0.416667&center=51.45%2C0.366667
Porto Da Praia,CV,CV RAI,14.9167,-23.5167,554,0,https://www.econdb.com/maritime/ports/async/CV RAI/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=CV RAI,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=CV RAI,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=CV RAI,https://www.econdb.com/maritime/search/?ab=14.8667%2C-23.5667%2C14.966700000000001%2C-23.4667&center=14.9167%2C-23.5167
Almeria,ES,ES LEI,36.8333,-2.46667,555,0,https://www.econdb.com/maritime/ports/async/ES LEI/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=ES LEI,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=ES LEI,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=ES LEI,https://www.econdb.com/maritime/search/?ab=36.783300000000004%2C-2.51667%2C36.8833%2C-2.4166700000000003&center=36.8333%2C-2.46667
"Sendai, Miyagi",JP,JP SDJ,38.08,140.55,556,0,https://www.econdb.com/maritime/ports/async/JP SDJ/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=JP SDJ,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=JP SDJ,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=JP SDJ,https://www.econdb.com/maritime/search/?ab=38.03%2C140.5%2C38.129999999999995%2C140.60000000000002&center=38.08%2C140.55
Mindelo,CV,CV MIN,16.53,-25,557,0,https://www.econdb.com/maritime/ports/async/CV MIN/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=CV MIN,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=CV MIN,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=CV MIN,https://www.econdb.com/maritime/search/?ab=16.48%2C-25.05%2C16.580000000000002%2C-24.95&center=16.53%2C-25.0
Husnes,NO,NO HUS,59.8667,5.76667,558,0,https://www.econdb.com/maritime/ports/async/NO HUS/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=NO HUS,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=NO HUS,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=NO HUS,https://www.econdb.com/maritime/search/?ab=59.816700000000004%2C5.716670000000001%2C59.9167%2C5.81667&center=59.8667%2C5.76667
Ras Laffan,QA,QA RLF,25.9167,51.5833,559,0,https://www.econdb.com/maritime/ports/async/QA RLF/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=QA RLF,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=QA RLF,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=QA RLF,https://www.econdb.com/maritime/search/?ab=25.866699999999998%2C51.533300000000004%2C25.9667%2C51.6333&center=25.9167%2C51.5833
Sheerness,UK,GB SHS,51.45,0.75,560,0,https://www.econdb.com/maritime/ports/async/GB SHS/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=GB SHS,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=GB SHS,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=GB SHS,https://www.econdb.com/maritime/search/?ab=51.400000000000006%2C0.7%2C51.5%2C0.8&center=51.45%2C0.75
Newcastle,AU,AU NTL,-32.9167,151.783,561,0,https://www.econdb.com/maritime/ports/async/AU NTL/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=AU NTL,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=AU NTL,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=AU NTL,https://www.econdb.com/maritime/search/?ab=-32.966699999999996%2C151.73299999999998%2C-32.8667%2C151.833&center=-32.9167%2C151.783
Taranto,IT,IT TAR,40.4667,17.2,562,0,https://www.econdb.com/maritime/ports/async/IT TAR/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=IT TAR,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=IT TAR,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=IT TAR,https://www.econdb.com/maritime/search/?ab=40.416700000000006%2C17.15%2C40.5167%2C17.25&center=40.4667%2C17.2
Nynashamn,SE,SE NYN,58.9,17.9667,563,0,https://www.econdb.com/maritime/ports/async/SE NYN/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=SE NYN,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=SE NYN,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=SE NYN,https://www.econdb.com/maritime/search/?ab=58.85%2C17.9167%2C58.949999999999996%2C18.0167&center=58.9%2C17.9667
Maassluis,NL,NL MSL,51.9167,4.25,564,0,https://www.econdb.com/maritime/ports/async/NL MSL/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=NL MSL,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=NL MSL,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=NL MSL,https://www.econdb.com/maritime/search/?ab=51.8667%2C4.2%2C51.966699999999996%2C4.3&center=51.9167%2C4.25
Sunderland,UK,GB SUN,54.9167,-1.36667,565,0,https://www.econdb.com/maritime/ports/async/GB SUN/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=GB SUN,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=GB SUN,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=GB SUN,https://www.econdb.com/maritime/search/?ab=54.8667%2C-1.41667%2C54.966699999999996%2C-1.31667&center=54.9167%2C-1.36667
Ringaskiddy Cork,IE,IE RIN,51.8304,-8.32195,566,0,https://www.econdb.com/maritime/ports/async/IE RIN/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=IE RIN,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=IE RIN,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=IE RIN,https://www.econdb.com/maritime/search/?ab=51.7804%2C-8.37195%2C51.880399999999995%2C-8.271949999999999&center=51.8304%2C-8.32195
Iyomishima,JP,JP IYM,33.9804,133.549,567,0,https://www.econdb.com/maritime/ports/async/JP IYM/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=JP IYM,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=JP IYM,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=JP IYM,https://www.econdb.com/maritime/search/?ab=33.930400000000006%2C133.499%2C34.0304%2C133.59900000000002&center=33.9804%2C133.549
Higashi-Harima,JP,JP HHR,34.7,134.833,568,0,https://www.econdb.com/maritime/ports/async/JP HHR/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=JP HHR,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=JP HHR,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=JP HHR,https://www.econdb.com/maritime/search/?ab=34.650000000000006%2C134.783%2C34.75%2C134.883&center=34.7%2C134.833
El Grao,ES,ES GCS,39.9667,0.016667,569,0,https://www.econdb.com/maritime/ports/async/ES GCS/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=ES GCS,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=ES GCS,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=ES GCS,https://www.econdb.com/maritime/search/?ab=39.916700000000006%2C-0.033333%2C40.0167%2C0.066667&center=39.9667%2C0.016667
Vado,IT,IT VAD,44.2642,8.443,570,0,https://www.econdb.com/maritime/ports/async/IT VAD/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=IT VAD,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=IT VAD,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=IT VAD,https://www.econdb.com/maritime/search/?ab=44.214200000000005%2C8.392999999999999%2C44.3142%2C8.493&center=44.2642%2C8.443
Apra Harbor,GU,GU APR,13.45,144.617,571,0,https://www.econdb.com/maritime/ports/async/GU APR/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=GU APR,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=GU APR,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=GU APR,https://www.econdb.com/maritime/search/?ab=13.399999999999999%2C144.56699999999998%2C13.5%2C144.667&center=13.45%2C144.617
Mina Saqr,AE,AE MSA,25.9833,56.05,572,0,https://www.econdb.com/maritime/ports/async/AE MSA/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=AE MSA,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=AE MSA,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=AE MSA,https://www.econdb.com/maritime/search/?ab=25.9333%2C56.0%2C26.0333%2C56.099999999999994&center=25.9833%2C56.05
Ishikari Bay New Port,JP,JP ISI,43.2167,141.283,574,0,https://www.econdb.com/maritime/ports/async/JP ISI/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=JP ISI,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=JP ISI,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=JP ISI,https://www.econdb.com/maritime/search/?ab=43.166700000000006%2C141.23299999999998%2C43.2667%2C141.333&center=43.2167%2C141.283
Mazatlan,MX,MX MZT,23.2,-106.417,575,0,https://www.econdb.com/maritime/ports/async/MX MZT/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=MX MZT,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=MX MZT,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=MX MZT,https://www.econdb.com/maritime/search/?ab=23.15%2C-106.467%2C23.25%2C-106.367&center=23.2%2C-106.417
Akita,JP,JP AXT,39.72,140.103,576,0,https://www.econdb.com/maritime/ports/async/JP AXT/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=JP AXT,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=JP AXT,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=JP AXT,https://www.econdb.com/maritime/search/?ab=39.67%2C140.053%2C39.769999999999996%2C140.15300000000002&center=39.72%2C140.103
Port Weller,CA,CA PWE,43.2333,-79.2167,577,0,https://www.econdb.com/maritime/ports/async/CA PWE/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=CA PWE,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=CA PWE,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=CA PWE,https://www.econdb.com/maritime/search/?ab=43.1833%2C-79.2667%2C43.2833%2C-79.1667&center=43.2333%2C-79.2167
Bayonne,US,US BAY,40.6833,-74.1,578,0,https://www.econdb.com/maritime/ports/async/US BAY/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=US BAY,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=US BAY,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=US BAY,https://www.econdb.com/maritime/search/?ab=40.633300000000006%2C-74.14999999999999%2C40.7333%2C-74.05&center=40.6833%2C-74.1
Baie Du Marigot,FR,MF MAR,18.0667,-63.0833,579,0,https://www.econdb.com/maritime/ports/async/MF MAR/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=MF MAR,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=MF MAR,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=MF MAR,https://www.econdb.com/maritime/search/?ab=18.0167%2C-63.1333%2C18.1167%2C-63.033300000000004&center=18.0667%2C-63.0833
Mongla,BD,BD MGL,22.4667,89.6,580,0,https://www.econdb.com/maritime/ports/async/BD MGL/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=BD MGL,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=BD MGL,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=BD MGL,https://www.econdb.com/maritime/search/?ab=22.4167%2C89.55%2C22.5167%2C89.64999999999999&center=22.4667%2C89.6
Guangzhou,CN,CN GGZ,23.1167,113.233,581,0,https://www.econdb.com/maritime/ports/async/CN GGZ/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=CN GGZ,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=CN GGZ,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=CN GGZ,https://www.econdb.com/maritime/search/?ab=23.0667%2C113.183%2C23.166700000000002%2C113.283&center=23.1167%2C113.233
MANILA SOUTH,PH,PH MNS,14.577,120.962,582,0,https://www.econdb.com/maritime/ports/async/PH MNS/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=PH MNS,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=PH MNS,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=PH MNS,https://www.econdb.com/maritime/search/?ab=14.527%2C120.912%2C14.627%2C121.012&center=14.577%2C120.962
Bangkok Modern Terminal,TH,TH BMT,13.8603,100.588,583,0,https://www.econdb.com/maritime/ports/async/TH BMT/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=TH BMT,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=TH BMT,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=TH BMT,https://www.econdb.com/maritime/search/?ab=13.8103%2C100.538%2C13.910300000000001%2C100.63799999999999&center=13.8603%2C100.588
Antofagasta,CL,CL ANF,-23.65,-70.4167,584,0,https://www.econdb.com/maritime/ports/async/CL ANF/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=CL ANF,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=CL ANF,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=CL ANF,https://www.econdb.com/maritime/search/?ab=-23.7%2C-70.4667%2C-23.599999999999998%2C-70.36670000000001&center=-23.65%2C-70.4167
Santana Pt./Macapá,BR,BR MCP,-0.03,-51.1,585,0,https://www.econdb.com/maritime/ports/async/BR MCP/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=BR MCP,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=BR MCP,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=BR MCP,https://www.econdb.com/maritime/search/?ab=-0.08%2C-51.15%2C0.020000000000000004%2C-51.050000000000004&center=-0.03%2C-51.1
Skagen Havn,DK,DK SKA,57.7167,10.6,586,0,https://www.econdb.com/maritime/ports/async/DK SKA/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=DK SKA,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=DK SKA,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=DK SKA,https://www.econdb.com/maritime/search/?ab=57.666700000000006%2C10.549999999999999%2C57.7667%2C10.65&center=57.7167%2C10.6
Balikpapan,ID,ID BPN,-1.25,116.817,587,0,https://www.econdb.com/maritime/ports/async/ID BPN/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=ID BPN,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=ID BPN,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=ID BPN,https://www.econdb.com/maritime/search/?ab=-1.3%2C116.767%2C-1.2%2C116.86699999999999&center=-1.25%2C116.817
Bata,GQ,GQ BSG,1.86667,9.76667,588,0,https://www.econdb.com/maritime/ports/async/GQ BSG/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=GQ BSG,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=GQ BSG,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=GQ BSG,https://www.econdb.com/maritime/search/?ab=1.81667%2C9.716669999999999%2C1.91667%2C9.81667&center=1.86667%2C9.76667
Thamesport,UK,GB THP,51.4333,0.7,589,0,https://www.econdb.com/maritime/ports/async/GB THP/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=GB THP,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=GB THP,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=GB THP,https://www.econdb.com/maritime/search/?ab=51.383300000000006%2C0.6499999999999999%2C51.4833%2C0.75&center=51.4333%2C0.7
Masan,KR,KR MAS,35.1833,128.567,590,0,https://www.econdb.com/maritime/ports/async/KR MAS/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=KR MAS,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=KR MAS,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=KR MAS,https://www.econdb.com/maritime/search/?ab=35.133300000000006%2C128.517%2C35.2333%2C128.61700000000002&center=35.1833%2C128.567
Botany Bay,AU,AU BTB,-34,151.233,591,0,https://www.econdb.com/maritime/ports/async/AU BTB/,https://www.econdb.com/widgets/ships-in-port/data/?freq=week&locode=AU BTB,https://www.econdb.com/widgets/port-time-series/data/?type=arrivals&unit=number&freq=week&locode=AU BTB,https://www.econdb.com/widgets/sea-trade-by-week/data/?freq=week&locode=AU BTB,https://www.econdb.com/maritime/search/?ab=-34.05%2C151.183%2C-33.95%2C151.28300000000002&center=-34.0%2C151.233
